city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population
Tokyo,Tokyo,35.6897,139.6922,Japan,JP,JPN,Tōkyō,primary,37977000
Jakarta,Jakarta,-6.2146,106.8451,Indonesia,ID,IDN,Jakarta,primary,34540000
Delhi,Delhi,28.66,77.23,India,IN,IND,Delhi,admin,29617000
Mumbai,Mumbai,18.9667,72.8333,India,IN,IND,Mahārāshtra,admin,23355000
Manila,Manila,14.5958,120.9772,Philippines,PH,PHL,Manila,primary,23088000
Shanghai,Shanghai,31.1667,121.4667,China,CN,CHN,Shanghai,admin,22120000
São Paulo,Sao Paulo,-23.5504,-46.6339,Brazil,BR,BRA,São Paulo,admin,22046000
Seoul,Seoul,37.5833,127,"Korea, South",KR,KOR,Seoul,primary,21794000
Mexico City,Mexico City,19.4333,-99.1333,Mexico,MX,MEX,Ciudad de México,primary,20996000
Guangzhou,Guangzhou,23.1288,113.259,China,CN,CHN,Guangdong,admin,20902000
Beijing,Beijing,39.905,116.3914,China,CN,CHN,Beijing,primary,19433000
Cairo,Cairo,30.0561,31.2394,Egypt,EG,EGY,Al Qāhirah,primary,19372000
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18713220
Kolkāta,Kolkata,22.5411,88.3378,India,IN,IND,West Bengal,admin,17560000
Moscow,Moscow,55.7558,37.6178,Russia,RU,RUS,Moskva,primary,17125000
Bangkok,Bangkok,13.75,100.5167,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,17066000
Buenos Aires,Buenos Aires,-34.5997,-58.3819,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",primary,16157000
Shenzhen,Shenzhen,22.535,114.054,China,CN,CHN,Guangdong,minor,15929000
Dhaka,Dhaka,23.7161,90.3961,Bangladesh,BD,BGD,Dhaka,primary,15443000
Lagos,Lagos,6.45,3.4,Nigeria,NG,NGA,Lagos,minor,15279000
Istanbul,Istanbul,41.01,28.9603,Turkey,TR,TUR,İstanbul,admin,15154000
Ōsaka,Osaka,34.6936,135.5019,Japan,JP,JPN,Ōsaka,admin,14977000
Karachi,Karachi,24.86,67.01,Pakistan,PK,PAK,Sindh,admin,14835000
Bangalore,Bangalore,12.9699,77.598,India,IN,IND,Karnātaka,admin,13707000
Tehran,Tehran,35.7,51.4167,Iran,IR,IRN,Tehrān,primary,13633000
Kinshasa,Kinshasa,-4.3317,15.3139,Congo (Kinshasa),CD,COD,Kinshasa,primary,13528000
Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333,Vietnam,VN,VNM,Hồ Chí Minh,admin,13312000
Los Angeles,Los Angeles,34.1139,-118.4068,United States,US,USA,California,,12750807
Rio de Janeiro,Rio de Janeiro,-22.9083,-43.1964,Brazil,BR,BRA,Rio de Janeiro,admin,12272000
Nanyang,Nanyang,32.9987,112.5292,China,CN,CHN,Henan,,12010000
Chennai,Chennai,13.0825,80.275,India,IN,IND,Tamil Nādu,admin,11324000
Chengdu,Chengdu,30.6636,104.0667,China,CN,CHN,Sichuan,admin,11309000
Lahore,Lahore,31.5497,74.3436,Pakistan,PK,PAK,Punjab,admin,11021000
Paris,Paris,48.8566,2.3522,France,FR,FRA,Île-de-France,primary,11020000
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,"London, City of",primary,10979000
Linyi,Linyi,35.0606,118.3425,China,CN,CHN,Shandong,,10820000
Tianjin,Tianjin,39.1467,117.2056,China,CN,CHN,Tianjin,admin,10800000
Shijiazhuang,Shijiazhuang,38.0422,114.5086,China,CN,CHN,Hebei,admin,10784600
Baoding,Baoding,38.8671,115.4845,China,CN,CHN,Hebei,,10700000
Zhoukou,Zhoukou,33.625,114.6418,China,CN,CHN,Henan,minor,9901000
